Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,clustering,triangles,eigencentrality
Information Ethics,Information Ethics,,24,24,2,0.584507,0.644578,0.680063,0.05068,0.05068,1,0,0.916667,253,0.35402
Foundations of Data Curation,Foundations of Data Curation,,51,51,2,0.721739,0.807229,4.130212,0.106092,0.106092,2,0,0.918431,1171,0.740753
Introduction to Databases,Introduction to Databases,,68,68,2,0.846939,0.909639,15.061336,0.134351,0.134351,2,0,0.798946,1820,0.938683
Media Literacy for Youth,Media Literacy for Youth,,67,67,2,0.838384,0.903614,26.897316,0.127769,0.127769,6,0,0.750339,1659,0.893531
"Bookbinding: Hist, Princ, Prac","Bookbinding: Hist, Princ, Prac",,53,53,2,0.734513,0.819277,10.73891,0.10616,0.10616,6,0,0.849057,1170,0.741959
Bio Informatics Probs & Res,Bio Informatics Probs & Res,,70,70,2,0.864583,0.921687,62.046582,0.132806,0.132806,1,0,0.740373,1788,0.928706
Pro Comm Lib & other Info Pro,Pro Comm Lib & other Info Pro,,50,50,2,0.715517,0.801205,9.670156,0.100111,0.100111,6,0,0.853061,1045,0.699714
School Library Media CenterSummary,School Library Media CenterSummary,,55,55,2,0.747748,0.831325,9.128698,0.110176,0.110176,6,0,0.843098,1252,0.769898
Print Culture & Material Book,Print Culture & Material Book,,45,45,2,0.68595,0.771084,3.557843,0.092558,0.092558,6,0,0.914141,905,0.646655
Self-Organizing Info Systems,Self-Organizing Info Systems,,50,50,2,0.715517,0.801205,7.651212,0.102078,0.102078,2,0,0.89551,1097,0.712937
Methods for Data Science,Methods for Data Science,,52,52,2,0.72807,0.813253,6.077714,0.106514,0.106514,2,0,0.892157,1183,0.74382
Business Analytics,Business Analytics,,30,30,2,0.610294,0.680723,1.052162,0.062251,0.062251,2,0,0.910345,396,0.434848
Government Information,Government Information,,26,26,3,0.588652,0.654618,0,0.049919,0.049919,1,0,1,325,0.349818
Network Analysis,Network Analysis,,45,45,2,0.68595,0.771084,3.557843,0.092558,0.092558,6,0,0.914141,905,0.646655
Grad Bioinformatics Seminar,Grad Bioinformatics Seminar,,2,2,3,0.491124,0.502008,0,0.004654,0.004654,6,0,1,1,0.032521
Student Teaching Seminar,Student Teaching Seminar,,17,17,3,0.553333,0.600402,0,0.035521,0.035521,6,0,1,136,0.248086
