ID,Name,Description,Instructor
590OH,Oral History,"Introduces the theory and practice of oral history to graduate students in history, communication, library and information science and related fields through reading, discussion and practice with field work and interviewing. Over the last fifty years, oral history has moved from a controversial (and sometimes despised) technique on the margins of the discipline history, to one of the most important forms of historical knowledge production and dissemination in the academic and non-academic worlds. Yet its goals and relations to the communities it touches are often less than clear. Examines oral historical works, some canonical, some experimental, produced by historians, anthropologists, folklorists, sociologists and political activists. Up for discussion are questions of orality and literacy, privileged versus marginal histories, the problem of memory, problems of listening and learning how to ask, and debates about audience and presentation. Readings will cross continents (the Americas Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Kathryn LaBarre
590PBO,Print Culture & Material Book,"[Expanded Title: Print Culture and the Material Book in the Age of Print] The course may be taken as 2 or 4 credits. 2 credit students need only attend the first 8 weeks. 4 credit students will write a research paper and lead a seminar session. This course will explore the approximate 500 year history of the printed book in the West from Gutenberg to our digital contemporary with the aim of better understanding the shifting power and purpose of the printing press historically. We will read the work of book historians and bibliographers, examine the role of the printed book in specific epochs such as the Reformation and Scientific Revolution, and examine how print has been used for censorship and propaganda, as well as for the production of knowledge. Particular attention will be paid to the types of material books found in research libraries and university special collections. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",John Vincler
590PC,Presv & Consv Spec Colls Care,"[Expanded Title: Preservation and Conservation for Special Collections Care] This course is meant to build on previous coursework in Preservation, Special Collections and/or Rare Book Curation, will focus on the physical structure and chemical composition of book, paper, and photographic materials. Students will learn how historic and modern library and archives materials are produced, how they age and potentially deteriorate, and different approaches for their physical care. Class work will be split between traditional lectures and readings as well as hands-on projects in book construction and minimally invasive treatments and stabilization mechanisms. The goal will be to educate students to a level at which they can effectively communicate with conservation and preservation professionals, as well as set educated priorities and expectations for the care of their collections. An additional course materials fee will be assessed to the student's tuition & fees bill. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.","Quinn Ferris, Jennifer Teper"
590PP,Pro Comm Lib & other Info Pro,"The course may be taken as 2 or 4 credits. 2 credit students need only attend the first 8 weeks. 4 credit students will attend the entire semester and develop a significant document and presentation, such as a grant application or budget request. This course will identify the varieties of means and media used in professional communication, analyze the qualities that make those means successful and offer many opportunities to practice using them. The majority of job postings in libraries and other information organizations list amongst their required qualifications excellent oral and written communication skills. How do we develop these skills and demonstrate them to potential employers as well as deploy them in our working lives? The course will touch briefly on the forms usually associated with business communication such as the resume and the effective email message. It will also discuss visual means of communication such as the slide deck, the poster and the data visualisation and Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Maria Bonn
590PR,Progr Analytics & Data Process,"All other students need department approval. Email ischool-advising@illinois.edu. Building on the fundamentals introduced in LIS 452, this course adds skills, data structures, tools, and patterns needed for developing and modifying software to solve more complex problems and to improve code maintainability and reliability. These skills are relevant to many types of programming, but many scenarios used will involve data analysis, conversion, validation, and processing pipelines. The course helps prepare students for work on larger projects with multiple developers. Includes test-driven design, more OOP design concepts, refactoring, profiling, introductory parallel processing, and more. Primarily uses the Python language. Prerequisite: LIS452; or equivalent programming knowledge, with consent of instructor. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",John Weible
590PR2,Progr Analytics & Data Process,"All students need instructor approval, obtained by going through the Programming Skills Assessment here: https://courses.ischool.illinois.edu/course/view.php?id=3176

[Programming for Analytics and Data Processing]
Building on the fundamentals introduced in LIS 452, this course adds skills, data structures, tools, and patterns needed for developing and modifying software to solve more complex problems and to improve code maintainability and reliability. These skills are relevant to many types of programming, but many scenarios used will involve data analysis, conversion, validation, and processing pipelines. The course helps prepare students for work on larger projects with multiple developers. Includes test-driven design, more OOP design concepts, refactoring, profiling, introductory parallel processing, and more. Primarily uses the Python language.

Prerequisite: LIS452; or equivalent programming knowledge",
590QM,Qualitative Methods Research,"Building on the fundamentals introduced in LIS 452, this course adds skills, data structures, tools, and patterns needed for developing and modifying software to solve more complex problems and to improve code maintainability and reliability. These skills are relevant to many types of programming, but many scenarios used will involve data analysis, conversion, validation, and processing pipelines. The course helps prepare students for work on larger projects with multiple developers. Includes test-driven design, more OOP design concepts, refactoring, profiling, introductory parallel processing, and more. Primarily uses the Python language.",John Weible
590SOS,Self-Organizing Info Systems,"Survey of strategies of qualitative inquiry, considering methods of collecting, analyzing, interpreting, and reporting data. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Lori Kendall
590SPO,Coll Dev for Spec Coll,"[Expanded Title: Topics in Self-Organizing Information Systems.] Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Les Gasser
590TX,Text Mining,"[Expanded Title: Collection Development for Special Collections] Focuses on the issues and practices related to collection development for special collections libraries. The selection and acquisition of printed, manuscript, and digital materials for special collections libraries is a large subject, but it is a subject that is treated only sparsely in the professional literature. Students will gain an understanding of the nature and makeup of a collection in a rare books and manuscripts library, as well as an overview of the practices and procedures used by acquisitions librarians and development officers involved in the purchase or solicitation of materials for the collection. Attention will also be paid to the legal and ethical considerations that arise in making collection decisions in a special collections library. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Sidney Berger
591AMO,Practicum,Supervised field experience of professional-level duties in an approved library or information center. Course Information: 2 graduate hours. No professional credit. Approved for S/U grading only. A maximum of 2 hours may be applied toward a degree program. Prerequisite: Completion of 14 graduate hours of information sciences courses; submission of Practicum forms.,
594JLW,Information Sciences Practice,"This course introduces students to the knowledge discovery process and methods used to mine patterns from a collection of text. We will critically review text mining methods developed in the knowledge discovery and databases, information science, and computational linguistics communities. Students will develop proficiency with modeling text through individual projects. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.",Catherine Blake
591,Practicum,Supervised field experience of professional-level duties in an approved library or information center. Course Information: 2 graduate hours. No professional credit. Approved for S/U grading only. A maximum of 2 hours may be applied toward a degree program. Prerequisite: Completion of 14 graduate hours of information sciences courses; submission of Practicum forms.,
502B,Libraries Info and Society,"Required core course for MS/LIS students. Explores major issues in the library and information science professions as they involve their communities of users and sponsors. Analyzes specific situations that reflect the professional agenda of these fields, including intellectual freedom, community service, professional ethics, social responsibilities, intellectual property, literacy, historical and international models, the socio-cultural role of libraries and information agencies and professionalism in general, focusing in particular on the interrelationships among these issues. Course Information: 2 or 4 graduate hours. No professional credit. Prerequisite: Required M.S. in library and information science degree core course.",Bonnie Mak
502C,Libraries Info and Society,"Required core course for MS/LIS students. Explores major issues in the library and information science professions as they involve their communities of users and sponsors. Analyzes specific situations that reflect the professional agenda of these fields, including intellectual freedom, community service, professional ethics, social responsibilities, intellectual property, literacy, historical and international models, the socio-cultural role of libraries and information agencies and professionalism in general, focusing in particular on the interrelationships among these issues. Course Information: 2 or 4 graduate hours. No professional credit. Prerequisite: Required M.S. in library and information science degree core course.",Melissa Ocepek
504A,Reference and Info Services,"Explores reference and information services in a variety of settings, introduces widely used print and online sources, and develops question negotiation skills and search strategies. Course Information: 4 graduate hours. No professional credit.",Jessica LeCrone
504AO,Reference and Info Services,"Explores reference and information services in a variety of settings, introduces widely used print and online sources, and develops question negotiation skills and search strategies. Course Information: 4 graduate hours. No professional credit.", Jeanne Holba Puacz
504AO2,Reference and Info Services,"Explores reference and information services in a variety of settings, introduces widely used print and online sources, and develops question negotiation skills and search strategies. Course Information: 4 graduate hours. No professional credit.", Jeanne Holba Puacz
505A,Adm Mgt of Libs Info Centers,"Designed to explore the principles that govern how organizations and institutions work, this course provides a foundation for and introduction to the theories, practices and procedures involved in the management and administration of libraries and information centers. Course Information: 4 graduate hours. No professional credit.
"," Zoe Revell, Beth Woodard,Paul Healey"
505AO,Adm Mgt of Libs Info Centers,"Designed to explore the principles that govern how organizations and institutions work, this course provides a foundation for and introduction to the theories, practices and procedures involved in the management and administration of libraries and information centers. Course Information: 4 graduate hours. No professional credit.",Paul Healey
507A, Intr to Bibliographic Metadata,"Introduction to basic principles and concepts of descriptive and subject cataloging in the context of information service needs for various user communities. Explores principles, structures, standards, technologies and practices relating to organizing and creating access to print and non-print media. Includes coverage of subject analysis and descriptive practices. Introduces controlled vocabularies. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 507.
",Nicole Ream-Sotomayor
507AO, Intr to Bibliographic Metadata,"Introduction to basic principles and concepts of descriptive and subject cataloging in the context of information service needs for various user communities. Explores principles, structures, standards, technologies and practices relating to organizing and creating access to print and non-print media. Includes coverage of subject analysis and descriptive practices. Introduces controlled vocabularies. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 507.",Bobby Bothmann
507AO2, Intr to Bibliographic Metadata,"Introduction to basic principles and concepts of descriptive and subject cataloging in the context of information service needs for various user communities. Explores principles, structures, standards, technologies and practices relating to organizing and creating access to print and non-print media. Includes coverage of subject analysis and descriptive practices. Introduces controlled vocabularies. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 507.",Dennis Quinn
508AO, Collection Development,"Examines issues affecting the development and management of collections for academic, public, special, and school libraries: collection development policies, collection assessment, the marketplace, publishing, legal issues, and budget allocation; document delivery; collaboration and cooperation. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 508.
",Anne Barnhart
508AO2, Collection Development,"Examines issues affecting the development and management of collections for academic, public, special, and school libraries: collection development policies, collection assessment, the marketplace, publishing, legal issues, and budget allocation; document delivery; collaboration and cooperation. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 508.
", Jeanne Holba Puacz
515A,Media Literacy for Youth,"Provides students with theoretical knowledge and practical methods useful to librarians and other professionals working with young people and media. Building on traditional understandings of literacy, media literacy explores the consumption and production of diverse types of texts including print, images, games, and music. Topics for this course may include the role of race in media, media literacy as a catalyst for social change, and intellectual property issues related to media education. Course Information: 2 or 4 graduate hours. No professional credit.",caroll tilley
515AO,Media Literacy for Youth,"Provides students with theoretical knowledge and practical methods useful to librarians and other professionals working with young people and media. Building on traditional understandings of literacy, media literacy explores the consumption and production of diverse types of texts including print, images, games, and music. Topics for this course may include the role of race in media, media literacy as a catalyst for social change, and intellectual property issues related to media education. Course Information: 2 or 4 graduate hours. No professional credit.", Alaine Martaus
516A,School Library Media CenterSummary,"School Library Information Specialists serve children and young adults (ages 5-18) in K-12 school library media centers. Students will acquire specific knowledge, skills and competencies needed to design, develop, integrate and assess curriculum and instruction with an emphasis on the information needs of K-12 students. Readings and projects provide students with opportunities to apply the practical knowledge and skills they have learned about building reading literacy, teaching information literacy skills, collaborating with teachers and integrating resources into teaching and learning. Course Information: 2 or 4 graduate hours. No professional credit.",Ruth Shasteen
516AO,School Library Media CenterSummary,"School Library Information Specialists serve children and young adults (ages 5-18) in K-12 school library media centers. Students will acquire specific knowledge, skills and competencies needed to design, develop, integrate and assess curriculum and instruction with an emphasis on the information needs of K-12 students. Readings and projects provide students with opportunities to apply the practical knowledge and skills they have learned about building reading literacy, teaching information literacy skills, collaborating with teachers and integrating resources into teaching and learning. Course Information: 2 or 4 graduate hours. No professional credit.",Ruth Shasteen
518AO,Community Informatics,"Survey of an emerging field that studies how local, historical communities use information and communication technologies or otherwise access, create, organize, and share information. Covers key principles for working in libraries or the wider non-profit/public sectors as individuals, organizations, and communities harness new technologies and media. Prepares both professionals and researchers, whatever their technology background. Especially useful for those interested in public or community libraries, youth services, university public engagement, social work, education, and anyone interested in working with or studying underserved communities. Course Information: 4 graduate hours. No professional credit.
",Kate Williams
525AO, Government Information,"Aims to acquaint students with government publications, their variety, interest, value, acquisition, and bibliographic control, and to develop proficiency in their reference and research use; considers publications of all types and all governments (local, national, international) with special emphasis on U. S., state and federal governments, and on the United Nations and its related specialized agencies. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 504 or consent of instructor.",Scott Matheson
527AO," Literacy, Reading, and Readers","Reading and literacy play a central role in all areas of LIS, as well as in education, communication, literature, and writing studies. This course considers reading as a physical, social, and educational activity that is historically and culturally situated. It provides a multidisciplinary investigation into different forms of literacy and how people acquire them. Drawing upon scholarship in LIS, education, literature, history, sociology, psychology, and anthropology, and with special consideration given to age, gender, class, religion, and culture, we will expand upon traditional notions of literacy and explore the range of scholarly approaches to the study of literacy, reading, and readers. For assignments, students choose between an experiential track, which offers practical experience through volunteer work in a literacy tutoring position, or a scholarship track, which features a research project without a volunteer component. All students have the same weekly readings and share kn",Mikki Smith
528A, Adult Popular Literature,"Restricted to graduate students in the School of Information Sciences, all other students need department approval. Email ischool-advising@illinois.edu A survey of genre fiction, readers' advisory services, the promotion of fiction, narrative nonfiction & media collections in libraries, the social effects of reading, and publishing as a business. Course objectives include: understanding why adults read for pleasure; gaining familiarity with popular fiction genres and their authors; understanding principles and tools of readers' advisory services; examining the issues of popular fiction publishing including the impact of technology in creating new formats; and the process of acquisition, maintenance, and marketing of popular fiction in libraries. Course Information: 2 or 4 graduate hours. No professional credit.
",Mary Wilkes (Althea Llewellyn) Towner
530C, REEES Bibliog Research Methods,"[Expanded title: Russian, East European & Eurasian Bibliography and Research Methods]. The IS 504 prerequisite is WAIVED for this 530 section. Description: This course is designed to provide graduate students in both area and information studies with a comprehensive introduction to research techniques in the Russian & East European field. Depending on enrollment, course content is designed to cover a broad range of interests--for example, Central Asia as well as Russia--while demonstrating that many tools serve more than one specialty. The course will also discuss the resources and skills required for digital scholarship, as well as traditional approaches. It will draw on specialists for various sessions, and will include readings, assignments and a final paper. Special topics sections for in-depth study of the characteristics and information needs of specialist users of libraries; goals and objectives, policies, and services; reference and bibliographical aids; and effective services that satisfy these special needs. Course Information: 2 or 4 graduate hours. No professional credit. May be repeated. Prerequisite: IS 504 or consent of instructor.",Kit Condill
530I, Bio Informatics Probs & Res,"This course introduces Information Science as an engine of exploration and discovery for Biology. Students will learn: historical origins of bioinformatics; biological organisms and processes as information phenomena; central problems of biology that are addressible with informatics techniques; information representations for biological structures and processes; common information modeling, organization, and analysis tools used in bioinformatics such as databases, networks, ontologies, and simulations; complex sociotechnical dilemmas that arise in the practice of bioinformatics work; and bioinformatics as an important example of data science. Lecture, discussion, and hands-on components. Special topics sections for in-depth study of the characteristics and information needs of specialist users of libraries; goals and objectives, policies, and services; reference and bibliographical aids; and effective services that satisfy these special needs. Course Information: 2 or 4 graduate hours. No professional credit. May be repeated. Prerequisite: IS 504 or consent of instructor.
",Les Gasser
530MAO, Music Libnship & Bibliography,"2 or 4 credits. Special topics sections for in-depth study of the characteristics and information needs of specialist users of libraries; goals and objectives, policies, and services; reference and bibliographical aids; and effective services that satisfy these special needs. Course Information: 2 or 4 graduate hours. No professional credit. May be repeated. Prerequisite: IS 504 or consent of instructor.
",Kirstin Dougan
531AO, Foundations of Data Curation,"Data curation is the active and on-going management of data through its lifecycle of interest and usefulness to scholarship, science, and education; curation activities and policies enable data discovery and retrieval, maintain data quality and add value, and provide for re-use over time. This course provides an overview of a broad range of theoretical and practical problems in the emerging field, examining issues related to appraisal and selection, long-lived data collections, research lifecycles, workflows, metadata, and legal and intellectual property issues. Data curation is the active and on-going management of data through its lifecycle of interest and usefulness to scholarship, science, and education; curation activities and policies enable data discovery and retrieval, maintain data quality and add value, and provide for re-use over time. This course provides an overview of a broad range of theoretical and practical problems in the emerging field, examining issues related to appraisal and selection, long-lived data collections, research lifecycles, workflows, metadata, and legal and intellectual property issues. Course Information: 4 graduate hours. No professional credit.",W. Aaron Collie
532A, Theory & Pract Data Cleaning,"This is a hybrid course that meets with IS 532 AO. Data cleaning (also: cleansing) is the process of assessing and improving data quality for later analysis and use, and is a crucial part of data curation and analysis. This course identifies data quality issues throughout the data lifecycle, and reviews specific techniques and approaches for checking and improving data quality. Techniques are drawn primarily from the database community, using schema-level and instance-level information, and from different scientific communities, which are developing practical tools for data pre-processing and cleaning. Course Information: Same as CS 513. 4 graduate hours. No professional credit.
",Bertram Ludäscher
532AO, Theory & Pract Data Cleaning,"This is a hybrid course that meets with IS 532 A. Data cleaning (also: cleansing) is the process of assessing and improving data quality for later analysis and use, and is a crucial part of data curation and analysis. This course identifies data quality issues throughout the data lifecycle, and reviews specific techniques and approaches for checking and improving data quality. Techniques are drawn primarily from the database community, using schema-level and instance-level information, and from different scientific communities, which are developing practical tools for data pre-processing and cleaning. Course Information: Same as CS 513. 4 graduate hours. No professional credit",Bertram Ludäscher
539A, Information Consulting,"This course is designed to provide fundamental knowledge in providing research services and also introduce the latest trends and innovative approaches in research services. Information professionals are increasingly being challenged to provide not just data but insights and recommendations that are critical for strategic decision making. Using methodologies widely adopted by professional firms and researchers, this course will cover basics of research consulting including framing research problems, developing deliverables, and presenting professionally. Course Information: 4 graduate hours. No professional credit.
",Yoo-Seong Song
539AO, Information Consulting,"This course is designed to provide fundamental knowledge in providing research services and also introduce the latest trends and innovative approaches in research services. Information professionals are increasingly being challenged to provide not just data but insights and recommendations that are critical for strategic decision making. Using methodologies widely adopted by professional firms and researchers, this course will cover basics of research consulting including framing research problems, developing deliverables, and presenting professionally. Course Information: 4 graduate hours. No professional credit.
",Yoo-Seong Song
