,CourseName,Edges,Source,Source_Course_Instructor,Target,Weights
26,Data Visualization,['Teaching'],590DV,Matthew Turk,515AO,1
27,Data Visualization,['Teaching'],590DV,Matthew Turk,516A,1
28,Data Visualization,['Teaching'],590DV,Matthew Turk,516AO,1
29,Data Visualization,"['Presentation', 'Teaching', 'Information Organization']",590DV,Matthew Turk,518AO,3
30,Data Visualization,"['Presentation', 'Teaching']",590DV,Matthew Turk,527AO,2
31,Data Visualization,['Information Organization'],590DV,Matthew Turk,528A,1
32,Data Visualization,['Information Organization'],590DV,Matthew Turk,530I,1
33,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,531AO,2
34,Data Visualization,['Information Organization'],590DV,Matthew Turk,532A,1
35,Data Visualization,['Information Organization'],590DV,Matthew Turk,532AO,1
36,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,542A,2
37,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,542B,2
38,Data Visualization,['Information Organization'],590DV,Matthew Turk,543A,1
39,Data Visualization,['Information Organization'],590DV,Matthew Turk,543B,1
40,Data Visualization,['Information Organization'],590DV,Matthew Turk,543C,1
41,Data Visualization,['Teaching'],590DV,Matthew Turk,547AO,1
42,Data Visualization,['Tools'],590DV,Matthew Turk,560AO,1
43,Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,561A,3
44,Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,561AO,3
45,Data Visualization,"['Programming', 'Tools', 'Information Organization']",590DV,Matthew Turk,561B,3
46,Data Visualization,['Information Organization'],590DV,Matthew Turk,562AO,1
47,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,567AO,2
48,Data Visualization,['Presentation'],590DV,Matthew Turk,580AO,1
49,Data Visualization,['Information Organization'],590DV,Matthew Turk,581AO,1
50,Data Visualization,['Information Organization'],590DV,Matthew Turk,582AO,1
51,Data Visualization,"['Presentation', 'Teaching']",590DV,Matthew Turk,590AT,2
52,Data Visualization,"['Programming', 'Presentation', 'Tools']",590DV,Matthew Turk,590BAO,3
53,Data Visualization,['Information Organization'],590DV,Matthew Turk,590CA,1
54,Data Visualization,['Information Organization'],590DV,Matthew Turk,590DT,1
55,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,390CC,2
56,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,390RGI,2
57,Data Visualization,"['Programming', 'Presentation', 'Information Organization']",590DV,Matthew Turk,390W1A,3
58,Data Visualization,"['Programming', 'Presentation', 'Information Organization']",590DV,Matthew Turk,390W1B,3
59,Data Visualization,['Presentation'],590DV,Matthew Turk,409AG,1
60,Data Visualization,['Presentation'],590DV,Matthew Turk,409AO,1
61,Data Visualization,['Presentation'],590DV,Matthew Turk,409AO2,1
62,Data Visualization,['Presentation'],590DV,Matthew Turk,409AU,1
63,Data Visualization,['Tools'],590DV,Matthew Turk,451A,1
64,Data Visualization,['Tools'],590DV,Matthew Turk,451AO,1
65,Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452AG,2
66,Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452AO,2
67,Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452AU,2
68,Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452BG,2
69,Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452BU,2
70,Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,457IDG,2
71,Data Visualization,"['Programming', 'Presentation', 'Teaching', 'Tools']",590DV,Matthew Turk,457IDU,4
72,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,458AO,2
73,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,461AG,2
74,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,461AO,2
75,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,461AU,2
76,Data Visualization,['Tools'],590DV,Matthew Turk,462G4,1
77,Data Visualization,['Tools'],590DV,Matthew Turk,462UG3,1
78,Data Visualization,"['Programming', 'Presentation', 'Information Organization']",590DV,Matthew Turk,490DB,3
79,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,490DBO,2
80,Data Visualization,"['Presentation', 'Teaching', 'Information Organization', 'Tools']",590DV,Matthew Turk,490GHU,4
81,Data Visualization,"['Presentation', 'Tools', 'Information Organization']",590DV,Matthew Turk,490GI,3
82,Data Visualization,"['Presentation', 'Tools', 'Information Organization']",590DV,Matthew Turk,490ITG,3
83,Data Visualization,"['Programming', 'Presentation', 'Tools', 'Information Organization']",590DV,Matthew Turk,490ITU,4
84,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,490SMG,2
85,Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,490SMU,2
86,Data Visualization,"['Programming', 'Presentation', 'Tools', 'Information Organization']",590DV,Matthew Turk,490TEO,4
87,Data Visualization,['Information Organization'],590DV,Matthew Turk,501A,1
88,Data Visualization,['Information Organization'],590DV,Matthew Turk,501AO,1
89,Data Visualization,['Information Organization'],590DV,Matthew Turk,501AO2,1
90,Data Visualization,['Information Organization'],590DV,Matthew Turk,501B,1
91,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502A,2
92,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502AO,2
93,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502AO2,2
94,Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502AO3,2
95,Data Visualization,['Teaching'],590DV,Matthew Turk,PR438-442,1
96,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,590ED1,1
97,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,590ED2,1
98,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590ELO,1
99,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,590GE,1
100,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,590GEO,1
101,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590GLO,1
102,Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,590IK,2
103,Data Warehousing and BI,"['Presentation', 'Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,590ISO,3
104,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590MD,1
105,Data Warehousing and BI,"['Practical Training', 'Presentation', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,590OH,3
106,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590PC,1
107,Data Warehousing and BI,"['Practical Training', 'Presentation']",590DW,Michael Wonderlich,590PP,2
108,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590PR,1
109,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590PR2,1
110,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590QM,1
111,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,590SOS,2
112,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590SPO,1
113,Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,591AMO,1
114,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,594JLW,1
115,Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,591,1
116,Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502B,2
117,Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502C,2
118,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,507A,2
119,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,507AO,2
120,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,507AO2,2
121,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,508AO,1
122,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,508AO2,1
123,Data Warehousing and BI,"['Presentation', 'Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,518AO,3
124,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,527AO,1
125,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,528A,2
126,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,530I,1
127,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,531AO,1
128,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,532A,1
129,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,532AO,1
130,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,539A,1
131,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,539AO,1
132,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,540A,1
133,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,542A,2
134,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,542B,2
135,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,543A,1
136,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,543B,1
137,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,543C,1
138,Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,548A,1
139,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,560AO,1
140,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,561A,1
141,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,561AO,1
142,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,561B,1
143,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,562AO,1
144,Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,567AO,2
145,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,580AO,1
146,Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,581AO,2
147,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,582AO,1
148,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,586A,1
149,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,586AO,1
150,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,590AT,1
151,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,590BAO,1
152,Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,590BBO,1
153,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590CA,1
154,Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,590CRO,1
155,Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,590DHO,1
156,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590DT,1
157,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,390CC,2
158,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,390RGI,2
159,Data Warehousing and BI,"['Presentation', 'Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,390W1A,3
160,Data Warehousing and BI,"['Presentation', 'Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,390W1B,3
161,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,409AG,1
162,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,409AO,1
163,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,409AO2,1
164,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,409AU,1
165,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452AG,1
166,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452AO,1
167,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452AU,1
168,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452BG,1
169,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452BU,1
170,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,457IDG,1
171,Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,457IDU,1
172,Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,458AO,1
173,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,461AG,2
174,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,461AO,2
175,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,461AU,2
176,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490DB,2
177,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490DBO,2
178,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490GHU,2
179,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490GI,2
180,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490ITG,2
181,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490ITU,2
182,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490SMG,2
183,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490SMU,2
184,Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490TEO,2
185,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,501A,2
186,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,501AO,2
187,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,501AO2,2
188,Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,501B,2
189,Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502A,2
190,Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502AO,2
191,Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502AO2,2
192,Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502AO3,2
193,Exhibit Design & Installation,"['Arts', 'Presentation', 'LIS']",590ED1,Walter Wilson,590ED2,3
194,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590GE,1
195,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590GEO,1
196,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590GLO,1
197,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,590ISO,1
198,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,590OH,1
199,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590PC,1
200,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,590PP,1
201,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590PR,1
202,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590PR2,1
203,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590QM,1
204,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590TX,1
205,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502B,1
206,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502C,1
207,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,504A,1
208,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,504AO,1
209,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,504AO2,1
210,Exhibit Design & Installation,"['Arts', 'LIS']",590ED1,Walter Wilson,515A,2
211,Exhibit Design & Installation,"['Arts', 'LIS']",590ED1,Walter Wilson,515AO,2
212,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,518AO,1
213,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,525AO,1
214,Exhibit Design & Installation,"['Presentation', 'LIS']",590ED1,Walter Wilson,527AO,2
215,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,528A,1
216,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,530C,1
217,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,530I,1
218,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,530MAO,1
219,Exhibit Design & Installation,['Arts'],590ED1,Walter Wilson,560AO,1
220,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,567AO,1
221,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,568AO,1
222,Exhibit Design & Installation,"['Presentation', 'LIS']",590ED1,Walter Wilson,580AO,2
223,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,581AO,1
224,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,582AO,1
225,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,586A,1
226,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,586AO,1
227,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,587A,1
228,Exhibit Design & Installation,"['Presentation', 'LIS']",590ED1,Walter Wilson,590AT,2
229,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,590BAO,1
230,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,390CC,1
231,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,390RGI,1
232,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,390W1A,1
233,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,390W1B,1
234,Exhibit Design & Installation,"['Arts', 'Presentation']",590ED1,Walter Wilson,409AG,2
235,Exhibit Design & Installation,"['Arts', 'Presentation']",590ED1,Walter Wilson,409AO,2
236,Exhibit Design & Installation,"['Arts', 'Presentation']",590ED1,Walter Wilson,409AO2,2
237,Exhibit Design & Installation,"['Arts', 'Presentation']",590ED1,Walter Wilson,409AU,2
238,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,457IDU,1
239,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,461AG,1
240,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,461AO,1
241,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,461AU,1
242,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,462G4,1
243,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,462UG3,1
244,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490DB,1
245,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490DBO,1
246,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490GHU,1
247,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490GI,1
248,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490ITG,1
249,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490ITU,1
250,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490SMG,1
251,Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490SMU,1
252,Exhibit Design & Installation,"['Presentation', 'LIS']",590ED1,Walter Wilson,490TEO,2
253,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,501A,1
254,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,501AO,1
255,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,501AO2,1
256,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,501B,1
257,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502A,1
258,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502AO,1
259,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502AO2,1
260,Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502AO3,1
261,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590GE,1
262,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590GEO,1
263,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590GLO,1
264,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,590ISO,1
265,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,590OH,1
266,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590PC,1
267,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,590PP,1
268,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590PR,1
269,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590PR2,1
270,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590QM,1
271,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590TX,1
272,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,502B,1
273,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,502C,1
274,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,504A,1
275,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,504AO,1
276,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,504AO2,1
277,Exhibit Design & Installation,"['Arts', 'LIS']",590ED2,Walter Wilson,515A,2
278,Exhibit Design & Installation,"['Arts', 'LIS']",590ED2,Walter Wilson,515AO,2
279,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,518AO,1
280,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,525AO,1
281,Exhibit Design & Installation,"['Presentation', 'LIS']",590ED2,Walter Wilson,527AO,2
282,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,528A,1
283,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,530C,1
284,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,530I,1
285,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,530MAO,1
286,Exhibit Design & Installation,['Arts'],590ED2,Walter Wilson,560AO,1
287,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,567AO,1
288,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,568AO,1
289,Exhibit Design & Installation,"['Presentation', 'LIS']",590ED2,Walter Wilson,580AO,2
290,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,581AO,1
291,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,582AO,1
292,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,586A,1
293,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,586AO,1
294,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,587A,1
295,Exhibit Design & Installation,"['Presentation', 'LIS']",590ED2,Walter Wilson,590AT,2
296,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,590BAO,1
297,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,390CC,1
298,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,390RGI,1
299,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,390W1A,1
300,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,390W1B,1
301,Exhibit Design & Installation,"['Arts', 'Presentation']",590ED2,Walter Wilson,409AG,2
302,Exhibit Design & Installation,"['Arts', 'Presentation']",590ED2,Walter Wilson,409AO,2
303,Exhibit Design & Installation,"['Arts', 'Presentation']",590ED2,Walter Wilson,409AO2,2
304,Exhibit Design & Installation,"['Arts', 'Presentation']",590ED2,Walter Wilson,409AU,2
305,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,457IDU,1
306,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,461AG,1
307,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,461AO,1
308,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,461AU,1
309,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,462G4,1
310,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,462UG3,1
311,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490DB,1
312,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490DBO,1
313,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490GHU,1
314,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490GI,1
315,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490ITG,1
316,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490ITU,1
317,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490SMG,1
318,Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490SMU,1
319,Exhibit Design & Installation,"['Presentation', 'LIS']",590ED2,Walter Wilson,490TEO,2
320,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,501A,1
321,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,501AO,1
322,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,501AO2,1
323,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,501B,1
324,Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,502A,1
