,ID,Name,Description,Instructor,category,entity_type,entity_name
33,507A, Intr to Bibliographic Metadata,"Introduction to basic principles and concepts of descriptive and subject cataloging in the context of information service needs for various user communities. Explores principles, structures, standards, technologies and practices relating to organizing and creating access to print and non-print media. Includes coverage of subject analysis and descriptive practices. Introduces controlled vocabularies. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 507.
",Nicole Ream-Sotomayor,['/Reference'],"['OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['principles', 'concepts', 'subject cataloging', 'Introduction', 'context', 'information service needs', 'user communities', 'print', 'practices', 'practices', 'access', 'technologies', 'standards', 'structures', 'media', 'coverage', 'subject analysis', 'credit', 'Prerequisite', 'enrollment', 'Course Information', 'vocabularies']"
34,507AO, Intr to Bibliographic Metadata,"Introduction to basic principles and concepts of descriptive and subject cataloging in the context of information service needs for various user communities. Explores principles, structures, standards, technologies and practices relating to organizing and creating access to print and non-print media. Includes coverage of subject analysis and descriptive practices. Introduces controlled vocabularies. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 507.",Bobby Bothmann,['/Reference'],"['OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['principles', 'concepts', 'subject cataloging', 'Introduction', 'context', 'information service needs', 'user communities', 'print', 'practices', 'practices', 'access', 'technologies', 'standards', 'structures', 'media', 'coverage', 'subject analysis', 'credit', 'Prerequisite', 'enrollment', 'Course Information', 'vocabularies']"
35,507AO2, Intr to Bibliographic Metadata,"Introduction to basic principles and concepts of descriptive and subject cataloging in the context of information service needs for various user communities. Explores principles, structures, standards, technologies and practices relating to organizing and creating access to print and non-print media. Includes coverage of subject analysis and descriptive practices. Introduces controlled vocabularies. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 507.",Dennis Quinn,['/Reference'],"['OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['principles', 'concepts', 'subject cataloging', 'Introduction', 'context', 'information service needs', 'user communities', 'print', 'practices', 'practices', 'access', 'technologies', 'standards', 'structures', 'media', 'coverage', 'subject analysis', 'credit', 'Prerequisite', 'enrollment', 'Course Information', 'vocabularies']"
36,508AO, Collection Development,"Examines issues affecting the development and management of collections for academic, public, special, and school libraries: collection development policies, collection assessment, the marketplace, publishing, legal issues, and budget allocation; document delivery; collaboration and cooperation. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 508.
",Anne Barnhart,[],"['OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['collections', 'development', 'issues', 'management', 'school libraries', 'collaboration', 'issues', 'marketplace', 'publishing', 'collection assessment', 'collection development policies', 'budget allocation', 'document delivery', 'cooperation', 'credit', 'Prerequisite', 'enrollment', 'Course Information']"
37,508AO2, Collection Development,"Examines issues affecting the development and management of collections for academic, public, special, and school libraries: collection development policies, collection assessment, the marketplace, publishing, legal issues, and budget allocation; document delivery; collaboration and cooperation. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501, or concurrent enrollment in IS 501 and IS 508.
",�Jeanne Holba Puacz,[],"['OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['collections', 'development', 'issues', 'management', 'school libraries', 'collaboration', 'issues', 'marketplace', 'publishing', 'collection assessment', 'collection development policies', 'budget allocation', 'document delivery', 'cooperation', 'credit', 'Prerequisite', 'enrollment', 'Course Information']"
38,515A,Media Literacy for Youth,"Provides students with theoretical knowledge and practical methods useful to librarians and other professionals working with young people and media. Building on traditional understandings of literacy, media literacy explores the consumption and production of diverse types of texts including print, images, games, and music. Topics for this course may include the role of race in media, media literacy as a catalyst for social change, and intellectual property issues related to media education. Course Information: 2 or 4 graduate hours. No professional credit.",caroll tilley,"['/Reference', '/Jobs & Education/Education']","['OTHER', 'OTHER', 'PERSON', 'PERSON', 'OTHER', 'PERSON', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT']","['knowledge', 'methods', 'librarians', 'students', 'media', 'professionals', 'people', 'literacy', 'Topics', 'course', 'images', 'games', 'texts', 'types', 'production', 'consumption', 'understandings', 'media literacy', 'music', 'role', 'media education', 'property', 'issues', 'Course Information', 'print', 'credit', 'media', 'media literacy', 'change', 'catalyst', 'race']"
39,515AO,Media Literacy for Youth,"Provides students with theoretical knowledge and practical methods useful to librarians and other professionals working with young people and media. Building on traditional understandings of literacy, media literacy explores the consumption and production of diverse types of texts including print, images, games, and music. Topics for this course may include the role of race in media, media literacy as a catalyst for social change, and intellectual property issues related to media education. Course Information: 2 or 4 graduate hours. No professional credit.", Alaine Martaus,"['/Reference', '/Jobs & Education/Education']","['OTHER', 'OTHER', 'PERSON', 'PERSON', 'OTHER', 'PERSON', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'WORK_OF_ART', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT']","['knowledge', 'methods', 'librarians', 'students', 'media', 'professionals', 'people', 'literacy', 'Topics', 'course', 'images', 'games', 'texts', 'types', 'production', 'consumption', 'understandings', 'media literacy', 'music', 'role', 'media education', 'property', 'issues', 'Course Information', 'print', 'credit', 'media', 'media literacy', 'change', 'catalyst', 'race']"
40,516A,School Library Media CenterSummary,"School Library Information Specialists serve children and young adults (ages 5-18) in K-12 school library media centers. Students will acquire specific knowledge, skills and competencies needed to design, develop, integrate and assess curriculum and instruction with an emphasis on the information needs of K-12 students. Readings and projects provide students with opportunities to apply the practical knowledge and skills they have learned about building reading literacy, teaching information literacy skills, collaborating with teachers and integrating resources into teaching and learning. Course Information: 2 or 4 graduate hours. No professional credit.",Ruth Shasteen,['/Jobs & Education/Education'],"['PERSON', 'PERSON', 'PERSON', 'OTHER', 'PERSON', 'LOCATION', 'LOCATION', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['Students', 'children', 'adults', 'ages', 'School Library Information Specialists', 'school library media centers', 'K-12', 'knowledge', 'skills', 'students', 'instruction', 'emphasis', 'information needs', 'curriculum', 'competencies', 'Readings', 'projects', 'opportunities', 'information literacy skills', 'teachers', 'teaching', 'learning', 'resources', 'Course Information', 'credit', 'literacy', 'skills', 'knowledge']"
41,516AO,School Library Media CenterSummary,"School Library Information Specialists serve children and young adults (ages 5-18) in K-12 school library media centers. Students will acquire specific knowledge, skills and competencies needed to design, develop, integrate and assess curriculum and instruction with an emphasis on the information needs of K-12 students. Readings and projects provide students with opportunities to apply the practical knowledge and skills they have learned about building reading literacy, teaching information literacy skills, collaborating with teachers and integrating resources into teaching and learning. Course Information: 2 or 4 graduate hours. No professional credit.",Ruth Shasteen,['/Jobs & Education/Education'],"['PERSON', 'PERSON', 'PERSON', 'OTHER', 'PERSON', 'LOCATION', 'LOCATION', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['Students', 'children', 'adults', 'ages', 'School Library Information Specialists', 'school library media centers', 'K-12', 'knowledge', 'skills', 'students', 'instruction', 'emphasis', 'information needs', 'curriculum', 'competencies', 'Readings', 'projects', 'opportunities', 'information literacy skills', 'teachers', 'teaching', 'learning', 'resources', 'Course Information', 'credit', 'literacy', 'skills', 'knowledge']"
42,518AO,Community Informatics,"Survey of an emerging field that studies how local, historical communities use information and communication technologies or otherwise access, create, organize, and share information. Covers key principles for working in libraries or the wider non-profit/public sectors as individuals, organizations, and communities harness new technologies and media. Prepares both professionals and researchers, whatever their technology background. Especially useful for those interested in public or community libraries, youth services, university public engagement, social work, education, and anyone interested in working with or studying underserved communities. Course Information: 4 graduate hours. No professional credit.
",Kate Williams,[],"['OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'PERSON', 'OTHER', 'LOCATION', 'ORGANIZATION', 'OTHER', 'PERSON', 'OTHER', 'PERSON', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'ORGANIZATION', 'OTHER', 'OTHER']","['field', 'information', 'communities', 'Survey', 'information', 'communication', 'technologies', 'access', 'professionals', 'communities', 'technologies', 'libraries', 'organizations', 'media', 'individuals', 'sectors', 'researchers', 'technology background', 'anyone', 'social work', 'education', 'communities', 'principles', 'Course Information', 'credit', 'community libraries', 'university', 'engagement', 'youth services']"
43,525AO, Government Information,"Aims to acquaint students with government publications, their variety, interest, value, acquisition, and bibliographic control, and to develop proficiency in their reference and research use; considers publications of all types and all governments (local, national, international) with special emphasis on U. S., state and federal governments, and on the United Nations and its related specialized agencies. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 504 or consent of instructor.",Scott Matheson,['/Jobs & Education/Education'],"['PERSON', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'ORGANIZATION', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'LOCATION', 'ORGANIZATION', 'LOCATION', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON']","['students', 'government publications', 'variety', 'interest', 'Aims', 'value', 'acquisition', 'control', 'governments', 'publications', 'types', 'research use', 'reference', 'proficiency', 'United Nations', 'emphasis', 'state', 'agencies', 'U.S.', 'governments', 'Course Information', 'credit', 'Prerequisite', 'consent', 'instructor']"
44,527AO," Literacy, Reading, and Readers","Reading and literacy play a central role in all areas of LIS, as well as in education, communication, literature, and writing studies. This course considers reading as a physical, social, and educational activity that is historically and culturally situated. It provides a multidisciplinary investigation into different forms of literacy and how people acquire them. Drawing upon scholarship in LIS, education, literature, history, sociology, psychology, and anthropology, and with special consideration given to age, gender, class, religion, and culture, we will expand upon traditional notions of literacy and explore the range of scholarly approaches to the study of literacy, reading, and readers. For assignments, students choose between an experiential track, which offers practical experience through volunteer work in a literacy tutoring position, or a scholarship track, which features a research project without a volunteer component. All students have the same weekly readings and share kn",Mikki Smith,['/Jobs & Education/Education/Teaching & Classroom Resources'],"['OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER']","['literacy', 'literature', 'Reading', 'education', 'areas', 'communication', 'studies', 'activity', 'LIS', 'role', 'literacy tutoring position', 'track', 'literature', 'literacy', 'course', 'literacy', 'scholarship', 'education', 'history', 'sociology', 'psychology', 'anthropology', 'consideration', 'people', 'forms', 'gender', 'notions', 'religion', 'age', 'class', 'culture', 'scholarship track', 'investigation', 'volunteer work', 'experience', 'readings', 'students', 'volunteer component', 'share', 'kn', 'literacy', 'research project', 'readers', 'reading', 'study', 'students', 'approaches', 'range', 'assignments']"
45,528A, Adult Popular Literature,"Restricted to graduate students in the School of Information Sciences, all other students need department approval. Email ischool-advising@illinois.edu A survey of genre fiction, readers' advisory services, the promotion of fiction, narrative nonfiction & media collections in libraries, the social effects of reading, and publishing as a business. Course objectives include: understanding why adults read for pleasure; gaining familiarity with popular fiction genres and their authors; understanding principles and tools of readers' advisory services; examining the issues of popular fiction publishing including the impact of technology in creating new formats; and the process of acquisition, maintenance, and marketing of popular fiction in libraries. Course Information: 2 or 4 graduate hours. No professional credit.
",Mary Wilkes (Althea Llewellyn) Towner,"['/Books & Literature', '/Jobs & Education/Education']","['PERSON', 'PERSON', 'OTHER', 'ORGANIZATION', 'PERSON', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'EVENT', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['students', 'students', 'department approval', 'School of Information Sciences', 'adults', 'genre fiction', 'readers', 'services', 'Email', 'survey', 'promotion', 'fiction', 'reading', 'Course objectives', 'readers', 'publishing', 'libraries', 'fiction genres', 'business', 'pleasure', 'media', 'collections', 'effects', 'nonfiction', 'fiction', 'authors', 'principles', 'tools', 'familiarity', 'marketing', 'formats', 'process', 'acquisition', 'maintenance', 'libraries', 'Course Information', 'credit', 'fiction publishing', 'services', 'technology', 'issues', 'impact']"
46,530C, REEES Bibliog Research Methods,"[Expanded title: Russian, East European & Eurasian Bibliography and Research Methods]. The IS 504 prerequisite is WAIVED for this 530 section. Description: This course is designed to provide graduate students in both area and information studies with a comprehensive introduction to research techniques in the Russian & East European field. Depending on enrollment, course content is designed to cover a broad range of interests--for example, Central Asia as well as Russia--while demonstrating that many tools serve more than one specialty. The course will also discuss the resources and skills required for digital scholarship, as well as traditional approaches. It will draw on specialists for various sessions, and will include readings, assignments and a final paper. Special topics sections for in-depth study of the characteristics and information needs of specialist users of libraries; goals and objectives, policies, and services; reference and bibliographical aids; and effective services that satisfy these special needs. Course Information: 2 or 4 graduate hours. No professional credit. May be repeated. Prerequisite: IS 504 or consent of instructor.",Kit Condill,[],"['OTHER', 'OTHER', 'UNKNOWN', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'EVENT', 'OTHER', 'OTHER', 'WORK_OF_ART', 'PERSON', 'OTHER', 'PERSON', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'OTHER', 'LOCATION', 'PERSON', 'OTHER', 'OTHER']","['title', 'Eurasian Bibliography and Research Methods', 'Russian', 'East European', 'prerequisite', 'section', 'course', 'IS 504', 'services', 'information', 'studies', 'tools', 'course', 'area', 'introduction', 'techniques', 'Description', 'course content', 'graduate students', 'specialty', 'specialists', 'resources', 'field', 'example', 'interests', 'enrollment', 'approaches', 'scholarship', 'skills', 'sessions', 'readings', 'special needs', 'services', 'aids', 'reference', 'policies', 'objectives', 'goals', 'range', 'Course Information', 'Central Asia', 'Prerequisite', 'credit', 'consent', 'instructor', 'study', 'information needs', 'sections', 'paper', 'assignments', 'libraries', 'users', 'characteristics', 'topics']"
47,530I, Bio Informatics Probs & Res,"This course introduces Information Science as an engine of exploration and discovery for Biology. Students will learn: historical origins of bioinformatics; biological organisms and processes as information phenomena; central problems of biology that are addressible with informatics techniques; information representations for biological structures and processes; common information modeling, organization, and analysis tools used in bioinformatics such as databases, networks, ontologies, and simulations; complex sociotechnical dilemmas that arise in the practice of bioinformatics work; and bioinformatics as an important example of data science. Lecture, discussion, and hands-on components. Special topics sections for in-depth study of the characteristics and information needs of specialist users of libraries; goals and objectives, policies, and services; reference and bibliographical aids; and effective services that satisfy these special needs. Course Information: 2 or 4 graduate hours. No professional credit. May be repeated. Prerequisite: IS 504 or consent of instructor.
",Les Gasser,"['/Science/Biological Sciences', '/Jobs & Education']","['OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'PERSON', 'OTHER']","['discovery', 'Biology', 'course', 'engine', 'exploration', 'Information Science', 'origins', 'problems', 'Students', 'dilemmas', 'services', 'bioinformatics', 'addressible', 'organisms', 'biology', 'processes', 'information phenomena', 'informatics techniques', 'bioinformatics', 'bioinformatics', 'processes', 'organization', 'databases', 'Course Information', 'data science', 'discussion', 'ontologies', 'simulations', 'practice', 'bioinformatics work', 'networks', 'analysis', 'information modeling', 'tools', 'structures', 'information representations', 'example', 'Lecture', 'components', 'sections', 'topics', 'special needs', 'services', 'aids', 'reference', 'credit', 'consent', 'Prerequisite', 'instructor', 'information needs', 'study', 'policies', 'objectives', 'goals', 'libraries', 'users', 'characteristics']"
48,530MAO, Music Libnship & Bibliography,"2 or 4 credits. Special topics sections for in-depth study of the characteristics and information needs of specialist users of libraries; goals and objectives, policies, and services; reference and bibliographical aids; and effective services that satisfy these special needs. Course Information: 2 or 4 graduate hours. No professional credit. May be repeated. Prerequisite: IS 504 or consent of instructor.
",Kirstin Dougan,[],"['OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER']","['credits', 'sections', 'topics', 'services', 'information needs', 'study', 'characteristics', 'services', 'special needs', 'policies', 'aids', 'reference', 'objectives', 'goals', 'libraries', 'users', 'credit', 'Prerequisite', 'consent', 'instructor', 'Course Information']"
49,531AO, Foundations of Data Curation,"Data curation is the active and on-going management of data through its lifecycle of interest and usefulness to scholarship, science, and education; curation activities and policies enable data discovery and retrieval, maintain data quality and add value, and provide for re-use over time. This course provides an overview of a broad range of theoretical and practical problems in the emerging field, examining issues related to appraisal and selection, long-lived data collections, research lifecycles, workflows, metadata, and legal and intellectual property issues. Data curation is the active and on-going management of data through its lifecycle of interest and usefulness to scholarship, science, and education; curation activities and policies enable data discovery and retrieval, maintain data quality and add value, and provide for re-use over time. This course provides an overview of a broad range of theoretical and practical problems in the emerging field, examining issues related to appraisal and selection, long-lived data collections, research lifecycles, workflows, metadata, and legal and intellectual property issues. Course Information: 4 graduate hours. No professional credit.",W. Aaron Collie,[],"['OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['management', 'lifecycle', 'interest', 'activities', 'data', 'Data curation', 'issues', 'education', 'usefulness', 'science', 'scholarship', 'issues', 'data collections', 'problems', 'field', 'curation', 'policies', 'retrieval', 'data quality', 'value', 'data discovery', 'Data curation', 'data', 'research lifecycles', 'course', 'curation', 'property', 'workflows', 'metadata', 'selection', 'appraisal', 'range', 'policies', 'education', 'science', 'scholarship', 'usefulness', 'overview', 'range', 'appraisal', 'selection', 'research lifecycles', 'property', 'metadata', 'workflows', 'Course Information', 'credit', 'course', 'value', 'data quality', 'retrieval', 'data discovery', 'overview']"
50,532A, Theory & Pract Data Cleaning,"This is a hybrid course that meets with IS 532 AO. Data cleaning (also: cleansing) is the process of assessing and improving data quality for later analysis and use, and is a crucial part of data curation and analysis. This course identifies data quality issues throughout the data lifecycle, and reviews specific techniques and approaches for checking and improving data quality. Techniques are drawn primarily from the database community, using schema-level and instance-level information, and from different scientific communities, which are developing practical tools for data pre-processing and cleaning. Course Information: Same as CS 513. 4 graduate hours. No professional credit.
",Bertram Lud�scher,"['/Jobs & Education/Education', '/Business & Industrial']","['OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['course', 'Data cleaning', 'data quality', 'communities', 'techniques', 'cleansing', 'analysis', 'part', 'analysis', 'data', 'data quality issues', 'data lifecycle', 'data curation', 'use', 'cleaning', 'tools', 'Course Information', 'credit', 'schema-level', 'information', 'database community', 'CS 513']"
51,532AO, Theory & Pract Data Cleaning,"This is a hybrid course that meets with IS 532 A. Data cleaning (also: cleansing) is the process of assessing and improving data quality for later analysis and use, and is a crucial part of data curation and analysis. This course identifies data quality issues throughout the data lifecycle, and reviews specific techniques and approaches for checking and improving data quality. Techniques are drawn primarily from the database community, using schema-level and instance-level information, and from different scientific communities, which are developing practical tools for data pre-processing and cleaning. Course Information: Same as CS 513. 4 graduate hours. No professional credit",Bertram Lud�scher,"['/Jobs & Education/Education', '/Business & Industrial']","['OTHER', 'OTHER', 'EVENT', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['process', 'data quality', 'Data cleaning', 'communities', 'cleansing', 'analysis', 'techniques', 'part', 'analysis', 'data curation', 'use', 'data', 'data quality issues', 'data lifecycle', 'cleaning', 'tools', 'Course Information', 'credit', 'schema-level', 'database community', 'information', 'CS 513']"
52,539A, Information Consulting,"This course is designed to provide fundamental knowledge in providing research services and also introduce the latest trends and innovative approaches in research services. Information professionals are increasingly being challenged to provide not just data but insights and recommendations that are critical for strategic decision making. Using methodologies widely adopted by professional firms and researchers, this course will cover basics of research consulting including framing research problems, developing deliverables, and presenting professionally. Course Information: 4 graduate hours. No professional credit.
",Yoo-Seong Song,"['/Jobs & Education/Education', '/Business & Industrial/Business Operations']","['OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER']","['course', 'research services', 'knowledge', 'trends', 'approaches', 'recommendations', 'research services', 'insights', 'Information professionals', 'methodologies', 'decision making', 'firms', 'data', 'research problems', 'deliverables', 'Course Information', 'credit', 'researchers', 'course', 'research consulting', 'basics']"
53,539AO, Information Consulting,"This course is designed to provide fundamental knowledge in providing research services and also introduce the latest trends and innovative approaches in research services. Information professionals are increasingly being challenged to provide not just data but insights and recommendations that are critical for strategic decision making. Using methodologies widely adopted by professional firms and researchers, this course will cover basics of research consulting including framing research problems, developing deliverables, and presenting professionally. Course Information: 4 graduate hours. No professional credit.
",Yoo-Seong Song,"['/Jobs & Education/Education', '/Business & Industrial/Business Operations']","['OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'OTHER']","['course', 'research services', 'knowledge', 'trends', 'approaches', 'recommendations', 'research services', 'insights', 'Information professionals', 'methodologies', 'decision making', 'firms', 'data', 'research problems', 'deliverables', 'Course Information', 'credit', 'researchers', 'course', 'research consulting', 'basics']"
54,540A,Applied Business Research,"Students must contact Professor Yoo-Seong Song at Yoosong@illinois.edu for approval to register. As an experiential learning class, this course covers advanced techniques of business research with an emphasis on managing real-world client projects. Students will be assigned to teams and work with clients to identify research requirements and construct recommendations. Students will acquire critical skills in creating professional deliverables through client engagements. Students will build professional research portfolios at the conclusion of their projects. Course Information: 4 graduate hours. No professional credit. May be repeated in separate terms up to 8 hours if topics vary. Prerequisite: Instructor approval required.
",Yoo-Seong Song,"['/Jobs & Education/Education', '/Business & Industrial']","['PERSON', 'PERSON', 'OTHER', 'ORGANIZATION', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'PERSON', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['Yoo-Seong Song', 'Students', 'approval', 'Yoosong@illinois.edu', 'Students', 'business research', 'class', 'learning', 'course', 'Students', 'clients', 'Students', 'client projects', 'skills', 'recommendations', 'research requirements', 'teams', 'emphasis', 'deliverables', 'client engagements', 'techniques', 'Prerequisite', 'credit', 'terms', 'Instructor approval', 'research portfolios', 'topics', 'projects', 'conclusion', 'Course Information']"
