,Course1,Course2,Common Entities
126,590ED1,548A,['discussion']
127,590ED1,559A,['everything']
128,590ED1,560AO,['art']
129,590ED1,562AO,['experience']
130,590ED1,580AO,['exhibition']
131,590ED1,581AO,"['institutions', 'discussion']"
132,590ED1,590AT,"['information sciences', 'IS 590', 'aspects', 'work']"
133,590ED1,590BAO,"['IS 590', 'techniques', 'aspects', 'information sciences', 'experience']"
134,590ED1,590BBO,"['information sciences', 'IS 590', 'aspects']"
135,590ED1,590CA,"['IS 590', 'aspects', 'information sciences', 'experience', 'work']"
136,590ED1,590CRO,"['IS 590', 'techniques', 'aspects', 'information sciences', 'dimensions']"
137,590ED1,590DHO,"['information sciences', 'IS 590', 'aspects', 'discussion']"
138,590ED1,590DI,"['information sciences', 'IS 590', 'aspects']"
139,590ED1,590DT,"['IS 590', 'techniques', 'aspects', 'information sciences', 'experience']"
140,590ED1,390CC,['work']
141,590ED1,390RGI,['work']
142,590ED1,390W1A,['work']
143,590ED1,390W1B,['work']
144,590ED1,457IDG,['work']
145,590ED1,457IDU,['work']
146,590ED1,490GI,"['processes', 'work']"
147,590ED1,490ITG,"['processes', 'work']"
148,590ED1,490ITU,"['concept', 'idea']"
149,590ED2,590ELO,"['information sciences', 'IS 590', 'aspects']"
150,590ED2,590ET,"['information sciences', 'IS 590', 'aspects']"
151,590ED2,590GE,"['information sciences', 'IS 590', 'aspects']"
152,590ED2,590GEO,"['information sciences', 'IS 590', 'aspects']"
153,590ED2,590GHG,"['information sciences', 'IS 590', 'aspects']"
154,590ED2,590GLO,"['information sciences', 'IS 590', 'aspects']"
155,590ED2,590IK,"['information sciences', 'planning', 'IS 590', 'aspects']"
156,590ED2,590ISO,"['information sciences', 'IS 590', 'aspects']"
157,590ED2,590MD,"['information sciences', 'IS 590', 'aspects']"
158,590ED2,590OH,"['information sciences', 'IS 590', 'aspects']"
159,590ED2,590PBO,"['information sciences', 'IS 590', 'aspects', 'work']"
160,590ED2,590PC,"['information sciences', 'IS 590', 'aspects']"
161,590ED2,590PP,"['information sciences', 'IS 590', 'aspects']"
162,590ED2,590PR,"['information sciences', 'IS 590', 'aspects', 'work']"
163,590ED2,590PR2,['work']
164,590ED2,590QM,['work']
165,590ED2,590SOS,"['information sciences', 'IS 590', 'aspects']"
166,590ED2,590SPO,"['information sciences', 'IS 590', 'aspects']"
167,590ED2,594JLW,"['information sciences', 'IS 590', 'aspects']"
168,590ED2,545AO,['work']
169,590ED2,547AO,['planning']
170,590ED2,559A,['everything']
171,590ED2,560AO,['art']
172,590ED2,580AO,['exhibition']
173,590ED2,590AT,"['information sciences', 'IS 590', 'aspects', 'work']"
174,590ED2,590BAO,"['information sciences', 'IS 590', 'aspects']"
175,590ED2,590BBO,"['information sciences', 'IS 590', 'aspects']"
176,590ED2,590CA,"['information sciences', 'IS 590', 'aspects', 'work']"
177,590ED2,590CRO,"['information sciences', 'IS 590', 'aspects']"
178,590ED2,590DHO,"['information sciences', 'IS 590', 'aspects']"
179,590ED2,590DI,"['information sciences', 'IS 590', 'aspects']"
180,590ED2,590DT,"['information sciences', 'IS 590', 'aspects']"
181,590ED2,390CC,['work']
182,590ED2,390RGI,['work']
183,590ED2,390W1A,['work']
184,590ED2,390W1B,['work']
185,590ED2,457IDG,['work']
186,590ED2,457IDU,['work']
187,590ED2,490GI,['work']
188,590ED2,490ITG,['work']
189,590ED2,490ITU,"['concept', 'idea']"
190,590ELO,590ET,"['information sciences', 'IS 590', 'aspects']"
191,590ELO,590GE,"['information sciences', 'IS 590', 'aspects', 'variety']"
192,590ELO,590GEO,"['information sciences', 'IS 590', 'aspects', 'variety']"
193,590ELO,590GHG,"['information sciences', 'IS 590', 'aspects']"
194,590ELO,590GLO,"['information sciences', 'IS 590', 'aspects']"
195,590ELO,590IK,"['information sciences', 'IS 590', 'aspects']"
196,590ELO,590ISO,"['information sciences', 'IS 590', 'aspects', 'variety']"
197,590ELO,590MD,"['information sciences', 'models', 'aspects', 'IS 590']"
198,590ELO,590OH,"['information sciences', 'IS 590', 'aspects']"
199,590ELO,590PBO,"['information sciences', 'IS 590', 'aspects']"
200,590ELO,590PC,"['information sciences', 'IS 590', 'aspects']"
201,590ELO,590PP,"['information sciences', 'IS 590', 'aspects']"
202,590ELO,590PR,"['information sciences', 'IS 590', 'aspects']"
203,590ELO,590SOS,"['information sciences', 'IS 590', 'aspects']"
204,590ELO,590SPO,"['information sciences', 'IS 590', 'aspects']"
205,590ELO,594JLW,"['information sciences', 'IS 590', 'aspects']"
206,590ELO,502B,['models']
207,590ELO,502C,['models']
208,590ELO,504A,['variety']
209,590ELO,504AO,['variety']
210,590ELO,504AO2,['variety']
211,590ELO,505A,['information centers']
212,590ELO,505AO,['information centers']
213,590ELO,525AO,['variety']
214,590ELO,542A,"['models', 'focus']"
215,590ELO,542B,"['models', 'focus']"
216,590ELO,562AO,['variety']
217,590ELO,567AO,['variety']
218,590ELO,586A,['variety']
219,590ELO,586AO,['variety']
220,590ELO,590AT,"['information sciences', 'IS 590', 'aspects']"
221,590ELO,590BAO,"['information sciences', 'IS 590', 'aspects']"
222,590ELO,590BBO,"['information sciences', 'IS 590', 'aspects', 'variety']"
223,590ELO,590CA,"['information sciences', 'IS 590', 'aspects']"
224,590ELO,590CRO,"['information sciences', 'IS 590', 'aspects', 'variety']"
225,590ELO,590DHO,"['information sciences', 'IS 590', 'aspects']"
226,590ELO,590DI,"['information sciences', 'IS 590', 'aspects']"
227,590ELO,590DT,"['information sciences', 'IS 590', 'aspects', 'variety']"
228,590ELO,458AO,['variety']
229,590ELO,490TEO,['variety']
230,590ELO,502A,['models']
231,590ELO,502AO,['models']
232,590ELO,502AO2,['models']
233,590ELO,502AO3,['models']
234,590ET,590GE,"['information sciences', 'IS 590', 'aspects']"
235,590ET,590GEO,"['information sciences', 'IS 590', 'aspects']"
236,590ET,590GHG,"['issues', 'IS 590', 'aspects', 'information sciences']"
237,590ET,590GLO,"['information sciences', 'IS 590', 'aspects']"
238,590ET,590IK,"['information sciences', 'IS 590', 'aspects', 'topics']"
239,590ET,590ISO,"['information sciences', 'application', 'IS 590', 'aspects']"
240,590ET,590MD,"['information sciences', 'IS 590', 'aspects']"
241,590ET,590OH,"['information sciences', 'IS 590', 'aspects']"
242,590ET,590PBO,"['information sciences', 'IS 590', 'aspects']"
243,590ET,590PC,"['information sciences', 'IS 590', 'aspects']"
244,590ET,590PP,"['information sciences', 'IS 590', 'aspects']"
245,590ET,590PR,"['information sciences', 'IS 590', 'aspects', 'design']"
246,590ET,590PR2,['design']
247,590ET,590QM,['design']
248,590ET,590SOS,"['information sciences', 'IS 590', 'aspects']"
249,590ET,590SPO,"['information sciences', 'IS 590', 'aspects']"
250,590ET,594JLW,"['information sciences', 'IS 590', 'aspects']"
251,590ET,502B,"['issues', 'ethics', 'intellectual property']"
252,590ET,502C,"['issues', 'ethics', 'intellectual property']"
253,590ET,505A,"['management', 'theories']"
254,590ET,505AO,"['management', 'theories']"
255,590ET,508AO,"['issues', 'management']"
256,590ET,508AO2,"['issues', 'management']"
257,590ET,515A,['issues']
258,590ET,515AO,['issues']
259,590ET,528A,['issues']
260,590ET,530C,['topics']
261,590ET,530I,['topics']
262,590ET,530MAO,['topics']
263,590ET,531AO,"['issues', 'management']"
264,590ET,540A,['topics']
265,590ET,542A,['application']
266,590ET,542B,['application']
267,590ET,543A,"['management', 'information technologies', 'design']"
268,590ET,543B,"['management', 'information technologies', 'design']"
269,590ET,543C,"['management', 'information technologies', 'design']"
270,590ET,545AO,"['issues', 'theories']"
271,590ET,547AO,['issues']
272,590ET,559A,['theories']
273,590ET,562AO,"['issues', 'application', 'design']"
274,590ET,567AO,['issues']
275,590ET,568AO,['issues']
276,590ET,580AO,['issues']
277,590ET,581AO,"['issues', 'information technologies']"
278,590ET,586A,['management']
279,590ET,586AO,['management']
280,590ET,590AT,"['information sciences', 'IS 590', 'aspects', 'topics']"
281,590ET,590BAO,"['information sciences', 'IS 590', 'aspects']"
282,590ET,590BBO,"['information sciences', 'IS 590', 'aspects']"
283,590ET,590CA,"['information sciences', 'IS 590', 'aspects']"
284,590ET,590CRO,"['information sciences', 'IS 590', 'aspects']"
285,590ET,590DHO,"['information sciences', 'IS 590', 'aspects']"
286,590ET,590DI,"['information sciences', 'IS 590', 'aspects']"
287,590ET,590DT,"['aspects', 'IS 590', 'data mining', 'information sciences']"
288,590ET,390CC,['topics']
289,590ET,390RGI,['topics']
290,590ET,390W1A,['topics']
291,590ET,390W1B,['topics']
292,590ET,409AG,['theories']
293,590ET,409AO,['theories']
294,590ET,409AO2,['theories']
295,590ET,409AU,['theories']
296,590ET,451A,['topics']
297,590ET,451AO,['topics']
298,590ET,458AO,['issues']
299,590ET,461AG,"['information technologies', 'design']"
300,590ET,461AO,"['information technologies', 'design']"
301,590ET,461AU,"['information technologies', 'design']"
302,590ET,462G4,['issues']
303,590ET,462UG3,['issues']
304,590ET,490DB,['topics']
305,590ET,490DBO,['topics']
306,590ET,490GHU,"['issues', 'topics']"
307,590ET,490GI,['topics']
308,590ET,490ITG,['topics']
309,590ET,490ITU,['topics']
310,590ET,490SMG,['topics']
311,590ET,490SMU,['topics']
312,590ET,490TEO,"['management', 'topics']"
313,590ET,502A,"['issues', 'ethics', 'intellectual property']"
314,590ET,502AO,"['issues', 'ethics', 'intellectual property']"
315,590ET,502AO2,"['issues', 'ethics', 'intellectual property']"
316,590ET,502AO3,"['issues', 'ethics', 'intellectual property']"
317,590GE,590GEO,"['assignments', 'librarians', 'print', 'records', 'lectures', 'sources', 'variety', 'research skills', 'IS 590', 'expenses', 'Students', 'instructor', 'researchers', 'Note', 'documents', 'information sciences', 'census', 'ways', 'consent', 'U.S.', 'family history research', 'field', 'series', 'genealogy', 'military', 'knowledge', 'church', 'addition', 'aspects', 'readings', 'land records', 'order']"
318,590GE,590GHG,"['information sciences', 'records', 'IS 590', 'aspects']"
319,590GE,590GLO,"['information sciences', 'IS 590', 'aspects']"
320,590GE,590IK,"['knowledge', 'information sciences', 'IS 590', 'aspects']"
321,590GE,590ISO,"['information sciences', 'IS 590', 'aspects', 'variety']"
322,590GE,590MD,"['IS 590', 'consent', 'instructor', 'aspects', 'information sciences']"
323,590GE,590OH,"['information sciences', 'IS 590', 'aspects']"
324,590GE,590PBO,"['IS 590', 'knowledge', 'print', 'aspects', 'information sciences']"
325,590GE,590PC,"['IS 590', 'Students', 'aspects', 'lectures', 'readings', 'information sciences']"
326,590GE,590PP,"['information sciences', 'IS 590', 'aspects']"
327,590GE,590PR,"['IS 590', 'consent', 'instructor', 'aspects', 'information sciences']"
328,590GE,590SOS,"['information sciences', 'IS 590', 'aspects']"
329,590GE,590SPO,"['information sciences', 'IS 590', 'aspects']"
330,590GE,590TX,['Students']
331,590GE,594JLW,"['Students', 'IS 590', 'aspects', 'information sciences']"
332,590GE,504A,"['variety', 'print', 'sources']"
333,590GE,504AO,"['variety', 'print', 'sources']"
334,590GE,504AO2,"['variety', 'print', 'sources']"
335,590GE,507A,['print']
336,590GE,507AO,['print']
337,590GE,507AO2,['print']
338,590GE,515A,"['knowledge', 'librarians', 'print']"
339,590GE,515AO,"['knowledge', 'librarians', 'print']"
340,590GE,516A,"['knowledge', 'Students']"
341,590GE,516AO,"['knowledge', 'Students']"
342,590GE,518AO,"['researchers', 'field']"
343,590GE,525AO,"['consent', 'U.S.', 'instructor', 'variety']"
344,590GE,527AO,"['readings', 'assignments']"
345,590GE,530C,"['assignments', 'field', 'consent', 'instructor', 'readings']"
346,590GE,530I,"['consent', 'Students', 'instructor']"
347,590GE,530MAO,"['consent', 'instructor']"
348,590GE,531AO,['field']
349,590GE,539A,"['knowledge', 'researchers']"
350,590GE,539AO,"['knowledge', 'researchers']"
351,590GE,540A,['Students']
352,590GE,543A,['knowledge']
353,590GE,543B,['knowledge']
354,590GE,543C,['knowledge']
355,590GE,545AO,['field']
356,590GE,547AO,['readings']
357,590GE,559A,['Students']
358,590GE,560AO,"['consent', 'Students', 'instructor']"
359,590GE,562AO,"['consent', 'instructor', 'variety']"
360,590GE,567AO,"['librarians', 'order', 'variety']"
361,590GE,568AO,"['field', 'Students', 'librarians']"
362,590GE,583A,['field']
363,590GE,586A,['variety']
364,590GE,586AO,['variety']
365,590GE,590AT,"['information sciences', 'librarians', 'aspects', 'IS 590']"
366,590GE,590BAO,"['Students', 'IS 590', 'aspects', 'information sciences']"
367,590GE,590BBO,"['IS 590', 'knowledge', 'Students', 'aspects', 'variety', 'readings', 'information sciences']"
368,590GE,590CA,"['IS 590', 'consent', 'instructor', 'records', 'aspects', 'documents', 'information sciences']"
369,590GE,590CRO,"['IS 590', 'Students', 'aspects', 'variety', 'readings', 'information sciences']"
370,590GE,590DHO,"['information sciences', 'IS 590', 'aspects', 'lectures']"
371,590GE,590DI,"['information sciences', 'IS 590', 'aspects']"
372,590GE,590DT,"['IS 590', 'assignments', 'aspects', 'variety', 'information sciences']"
373,590GE,390CC,['knowledge']
374,590GE,390RGI,"['knowledge', 'ways']"
375,590GE,390W1A,"['knowledge', 'Students']"
376,590GE,390W1B,"['knowledge', 'Students']"
377,590GE,404AG,"['consent', 'print']"
378,590GE,404AO,"['consent', 'print', 'instructor']"
379,590GE,404AU,"['consent', 'print', 'instructor']"
380,590GE,409AG,"['addition', 'assignments']"
381,590GE,409AO,"['addition', 'assignments']"
382,590GE,409AO2,"['addition', 'assignments']"
383,590GE,409AU,"['addition', 'assignments']"
384,590GE,418AO,['ways']
385,590GE,418AU,['ways']
386,590GE,445AG,['print']
387,590GE,445AO,['print']
388,590GE,445AU,['print']
389,590GE,451A,['knowledge']
390,590GE,451AO,['knowledge']
391,590GE,452AG,['records']
392,590GE,452AO,['records']
393,590GE,452AU,['records']
394,590GE,452BG,['records']
395,590GE,452BU,['records']
396,590GE,457IDG,['Note']
397,590GE,457IDU,['Note']
398,590GE,458AO,"['Students', 'variety']"
399,590GE,461AG,"['ways', 'consent', 'Students', 'instructor', 'lectures']"
400,590GE,461AO,"['ways', 'consent', 'Students', 'instructor', 'lectures']"
401,590GE,461AU,"['ways', 'consent', 'Students', 'instructor', 'lectures']"
402,590GE,462G4,['Students']
403,590GE,462UG3,['Students']
404,590GE,490DB,"['consent', 'knowledge', 'instructor']"
405,590GE,490DBO,"['knowledge', 'instructor', 'consent']"
406,590GE,490GHU,"['consent', 'records', 'knowledge', 'instructor']"
407,590GE,490GI,"['consent', 'knowledge', 'instructor', 'addition']"
408,590GE,490ITG,"['consent', 'knowledge', 'instructor', 'addition']"
409,590GE,490ITU,"['consent', 'Students', 'knowledge', 'instructor']"
410,590GE,490SMG,"['consent', 'knowledge', 'instructor']"
411,590GE,490SMU,"['consent', 'knowledge', 'instructor']"
412,590GE,490TEO,"['consent', 'knowledge', 'instructor', 'variety']"
413,590GE,501A,"['knowledge', 'print']"
414,590GE,501AO,"['knowledge', 'print']"
415,590GE,501AO2,"['knowledge', 'print']"
416,590GE,501B,"['knowledge', 'print']"
417,590GEO,590GHG,"['information sciences', 'records', 'IS 590', 'aspects']"
418,590GEO,590GLO,"['information sciences', 'IS 590', 'aspects']"
419,590GEO,590IK,"['knowledge', 'information sciences', 'IS 590', 'aspects']"
420,590GEO,590ISO,"['information sciences', 'IS 590', 'aspects', 'variety']"
421,590GEO,590MD,"['IS 590', 'consent', 'instructor', 'aspects', 'information sciences']"
422,590GEO,590OH,"['information sciences', 'IS 590', 'aspects']"
423,590GEO,590PBO,"['IS 590', 'knowledge', 'print', 'aspects', 'information sciences']"
424,590GEO,590PC,"['IS 590', 'Students', 'aspects', 'lectures', 'readings', 'information sciences']"
425,590GEO,590PP,"['information sciences', 'IS 590', 'aspects']"
426,590GEO,590PR,"['IS 590', 'consent', 'instructor', 'aspects', 'information sciences']"
427,590GEO,590SOS,"['information sciences', 'IS 590', 'aspects']"
428,590GEO,590SPO,"['information sciences', 'IS 590', 'aspects']"
429,590GEO,590TX,['Students']
430,590GEO,594JLW,"['Students', 'IS 590', 'aspects', 'information sciences']"
431,590GEO,504A,"['variety', 'print', 'sources']"
432,590GEO,504AO,"['variety', 'print', 'sources']"
433,590GEO,504AO2,"['variety', 'print', 'sources']"
434,590GEO,507A,['print']
435,590GEO,507AO,['print']
436,590GEO,507AO2,['print']
437,590GEO,515A,"['knowledge', 'librarians', 'print']"
438,590GEO,515AO,"['knowledge', 'librarians', 'print']"
439,590GEO,516A,"['knowledge', 'Students']"
440,590GEO,516AO,"['knowledge', 'Students']"
441,590GEO,518AO,"['researchers', 'field']"
442,590GEO,525AO,"['consent', 'U.S.', 'instructor', 'variety']"
443,590GEO,527AO,"['readings', 'assignments']"
444,590GEO,530C,"['assignments', 'field', 'consent', 'instructor', 'readings']"
445,590GEO,530I,"['consent', 'Students', 'instructor']"
446,590GEO,530MAO,"['consent', 'instructor']"
447,590GEO,531AO,['field']
448,590GEO,539A,"['knowledge', 'researchers']"
449,590GEO,539AO,"['knowledge', 'researchers']"
450,590GEO,540A,['Students']
451,590GEO,543A,['knowledge']
452,590GEO,543B,['knowledge']
453,590GEO,543C,['knowledge']
454,590GEO,545AO,['field']
455,590GEO,547AO,['readings']
456,590GEO,559A,['Students']
457,590GEO,560AO,"['consent', 'Students', 'instructor']"
458,590GEO,562AO,"['consent', 'instructor', 'variety']"
459,590GEO,567AO,"['librarians', 'order', 'variety']"
460,590GEO,568AO,"['field', 'Students', 'librarians']"
461,590GEO,583A,['field']
462,590GEO,586A,['variety']
463,590GEO,586AO,['variety']
464,590GEO,590AT,"['information sciences', 'librarians', 'aspects', 'IS 590']"
465,590GEO,590BAO,"['Students', 'IS 590', 'aspects', 'information sciences']"
466,590GEO,590BBO,"['IS 590', 'knowledge', 'Students', 'aspects', 'variety', 'readings', 'information sciences']"
467,590GEO,590CA,"['IS 590', 'consent', 'instructor', 'records', 'aspects', 'documents', 'information sciences']"
468,590GEO,590CRO,"['IS 590', 'Students', 'aspects', 'variety', 'readings', 'information sciences']"
469,590GEO,590DHO,"['information sciences', 'IS 590', 'aspects', 'lectures']"
470,590GEO,590DI,"['information sciences', 'IS 590', 'aspects']"
471,590GEO,590DT,"['IS 590', 'assignments', 'aspects', 'variety', 'information sciences']"
472,590GEO,390CC,['knowledge']
473,590GEO,390RGI,"['knowledge', 'ways']"
474,590GEO,390W1A,"['knowledge', 'Students']"
475,590GEO,390W1B,"['knowledge', 'Students']"
476,590GEO,404AG,"['consent', 'print']"
477,590GEO,404AO,"['consent', 'print', 'instructor']"
478,590GEO,404AU,"['consent', 'print', 'instructor']"
479,590GEO,409AG,"['addition', 'assignments']"
480,590GEO,409AO,"['addition', 'assignments']"
481,590GEO,409AO2,"['addition', 'assignments']"
482,590GEO,409AU,"['addition', 'assignments']"
483,590GEO,418AO,['ways']
484,590GEO,418AU,['ways']
485,590GEO,445AG,['print']
486,590GEO,445AO,['print']
487,590GEO,445AU,['print']
488,590GEO,451A,['knowledge']
489,590GEO,451AO,['knowledge']
490,590GEO,452AG,['records']
491,590GEO,452AO,['records']
492,590GEO,452AU,['records']
493,590GEO,452BG,['records']
494,590GEO,452BU,['records']
495,590GEO,457IDG,['Note']
496,590GEO,457IDU,['Note']
497,590GEO,458AO,"['Students', 'variety']"
498,590GEO,461AG,"['ways', 'consent', 'Students', 'instructor', 'lectures']"
499,590GEO,461AO,"['ways', 'consent', 'Students', 'instructor', 'lectures']"
500,590GEO,461AU,"['ways', 'consent', 'Students', 'instructor', 'lectures']"
501,590GEO,462G4,['Students']
502,590GEO,462UG3,['Students']
503,590GEO,490DB,"['consent', 'knowledge', 'instructor']"
504,590GEO,490DBO,"['knowledge', 'instructor', 'consent']"
505,590GEO,490GHU,"['consent', 'records', 'knowledge', 'instructor']"
506,590GEO,490GI,"['consent', 'knowledge', 'instructor', 'addition']"
507,590GEO,490ITG,"['consent', 'knowledge', 'instructor', 'addition']"
508,590GEO,490ITU,"['consent', 'Students', 'knowledge', 'instructor']"
509,590GEO,490SMG,"['consent', 'knowledge', 'instructor']"
510,590GEO,490SMU,"['consent', 'knowledge', 'instructor']"
511,590GEO,490TEO,"['consent', 'knowledge', 'instructor', 'variety']"
512,590GEO,501A,"['knowledge', 'print']"
513,590GEO,501AO,"['knowledge', 'print']"
514,590GEO,501AO2,"['knowledge', 'print']"
515,590GEO,501B,"['knowledge', 'print']"
516,590GHG,590GLO,"['information sciences', 'education', 'IS 590', 'aspects']"
517,590GHG,590IK,"['information sciences', 'IS 590', 'aspects']"
518,590GHG,590ISO,"['information sciences', 'IS 590', 'aspects']"
519,590GHG,590MD,"['information sciences', 'IS 590', 'aspects']"
520,590GHG,590OH,"['information sciences', 'IS 590', 'aspects']"
521,590GHG,590PBO,"['information sciences', 'IS 590', 'aspects']"
522,590GHG,590PC,"['information sciences', 'IS 590', 'aspects']"
523,590GHG,590PP,"['information sciences', 'opportunities', 'IS 590', 'aspects']"
524,590GHG,590PR,"['information sciences', 'IS 590', 'aspects']"
525,590GHG,590SOS,"['information sciences', 'IS 590', 'aspects']"
526,590GHG,590SPO,"['information sciences', 'IS 590', 'aspects']"
527,590GHG,594JLW,"['information sciences', 'IS 590', 'aspects']"
528,590GHG,502B,['issues']
529,590GHG,502C,['issues']
530,590GHG,508AO,['issues']
531,590GHG,508AO2,['issues']
532,590GHG,515A,['issues']
533,590GHG,515AO,['issues']
534,590GHG,516A,"['opportunities', 'emphasis']"
535,590GHG,516AO,"['opportunities', 'emphasis']"
536,590GHG,518AO,['education']
537,590GHG,525AO,"['state', 'emphasis']"
538,590GHG,527AO,['education']
539,590GHG,528A,['issues']
540,590GHG,531AO,"['issues', 'education']"
541,590GHG,540A,['emphasis']
542,590GHG,545AO,['issues']
543,590GHG,547AO,"['issues', 'education']"
544,590GHG,562AO,"['systems', 'issues']"
545,590GHG,567AO,"['issues', 'challenges', 'education']"
546,590GHG,568AO,['issues']
547,590GHG,580AO,['issues']
548,590GHG,581AO,['issues']
549,590GHG,590AT,"['information sciences', 'state', 'IS 590', 'aspects']"
550,590GHG,590BAO,"['information sciences', 'IS 590', 'aspects']"
551,590GHG,590BBO,"['information sciences', 'IS 590', 'aspects']"
