Label,Edges,Source,Source_Course_Instructor,Target,Weights
Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452AU,2
Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452BG,2
Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,452BU,2
Data Visualization,"['Programming', 'Information Organization']",590DV,Matthew Turk,457IDG,2
Data Visualization,"['Programming', 'Presentation', 'Teaching', 'Tools']",590DV,Matthew Turk,457IDU,4
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,458AO,2
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,461AG,2
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,461AO,2
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,461AU,2
Data Visualization,['Tools'],590DV,Matthew Turk,462G4,1
Data Visualization,['Tools'],590DV,Matthew Turk,462UG3,1
Data Visualization,"['Programming', 'Presentation', 'Information Organization']",590DV,Matthew Turk,490DB,3
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,490DBO,2
Data Visualization,"['Presentation', 'Teaching', 'Information Organization', 'Tools']",590DV,Matthew Turk,490GHU,4
Data Visualization,"['Presentation', 'Tools', 'Information Organization']",590DV,Matthew Turk,490GI,3
Data Visualization,"['Presentation', 'Tools', 'Information Organization']",590DV,Matthew Turk,490ITG,3
Data Visualization,"['Programming', 'Presentation', 'Tools', 'Information Organization']",590DV,Matthew Turk,490ITU,4
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,490SMG,2
Data Visualization,"['Presentation', 'Information Organization']",590DV,Matthew Turk,490SMU,2
Data Visualization,"['Programming', 'Presentation', 'Tools', 'Information Organization']",590DV,Matthew Turk,490TEO,4
Data Visualization,['Information Organization'],590DV,Matthew Turk,501A,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,501AO,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,501AO2,1
Data Visualization,['Information Organization'],590DV,Matthew Turk,501B,1
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502A,2
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502AO,2
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502AO2,2
Data Visualization,"['Teaching', 'Information Organization']",590DV,Matthew Turk,502AO3,2
Data Visualization,['Teaching'],590DV,Matthew Turk,PR438-442,1
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,590ED1,1
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,590ED2,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590ELO,1
Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,590GE,1
Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,590GEO,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590GLO,1
Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,590IK,2
Data Warehousing and BI,"['Presentation', 'Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,590ISO,3
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590MD,1
Data Warehousing and BI,"['Practical Training', 'Presentation', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,590OH,3
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590PC,1
Data Warehousing and BI,"['Practical Training', 'Presentation']",590DW,Michael Wonderlich,590PP,2
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590PR,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590PR2,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590QM,1
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,590SOS,2
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590SPO,1
Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,591AMO,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,594JLW,1
Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,591,1
Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502B,2
Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502C,2
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,507A,2
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,507AO,2
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,507AO2,2
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,508AO,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,508AO2,1
Data Warehousing and BI,"['Presentation', 'Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,518AO,3
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,527AO,1
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,528A,2
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,530I,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,531AO,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,532A,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,532AO,1
Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,539A,1
Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,539AO,1
Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,540A,1
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,542A,2
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,542B,2
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,543A,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,543B,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,543C,1
Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,548A,1
Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,560AO,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,561A,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,561AO,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,561B,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,562AO,1
Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,567AO,2
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,580AO,1
Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,581AO,2
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,582AO,1
Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,586A,1
Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,586AO,1
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,590AT,1
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,590BAO,1
Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,590BBO,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590CA,1
Data Warehousing and BI,['requiremnets research/user/consulting/synthesis'],590DW,Michael Wonderlich,590CRO,1
Data Warehousing and BI,['Practical Training'],590DW,Michael Wonderlich,590DHO,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,590DT,1
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,390CC,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,390RGI,2
Data Warehousing and BI,"['Presentation', 'Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,390W1A,3
Data Warehousing and BI,"['Presentation', 'Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,390W1B,3
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,409AG,1
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,409AO,1
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,409AO2,1
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,409AU,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452AG,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452AO,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452AU,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452BG,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,452BU,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,457IDG,1
Data Warehousing and BI,['Presentation'],590DW,Michael Wonderlich,457IDU,1
Data Warehousing and BI,['Information Organization'],590DW,Michael Wonderlich,458AO,1
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,461AG,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,461AO,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,461AU,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490DB,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490DBO,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490GHU,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490GI,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490ITG,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490ITU,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490SMG,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490SMU,2
Data Warehousing and BI,"['Presentation', 'Information Organization']",590DW,Michael Wonderlich,490TEO,2
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,501A,2
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,501AO,2
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,501AO2,2
Data Warehousing and BI,"['Information Organization', 'requiremnets research/user/consulting/synthesis']",590DW,Michael Wonderlich,501B,2
Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502A,2
Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502AO,2
Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502AO2,2
Data Warehousing and BI,"['Practical Training', 'Information Organization']",590DW,Michael Wonderlich,502AO3,2
Exhibit Design & Installation,"['Arts', 'Presentation', 'LIS']",590ED1,Walter Wilson,590ED2,3
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590GE,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590GEO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590GLO,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,590ISO,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,590OH,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590PC,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,590PP,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590PR,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590PR2,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590QM,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,590TX,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502B,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502C,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,504A,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,504AO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,504AO2,1
Exhibit Design & Installation,"['Arts', 'LIS']",590ED1,Walter Wilson,515A,2
Exhibit Design & Installation,"['Arts', 'LIS']",590ED1,Walter Wilson,515AO,2
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,518AO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,525AO,1
Exhibit Design & Installation,"['Presentation', 'LIS']",590ED1,Walter Wilson,527AO,2
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,528A,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,530C,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,530I,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,530MAO,1
Exhibit Design & Installation,['Arts'],590ED1,Walter Wilson,560AO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,567AO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,568AO,1
Exhibit Design & Installation,"['Presentation', 'LIS']",590ED1,Walter Wilson,580AO,2
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,581AO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,582AO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,586A,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,586AO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,587A,1
Exhibit Design & Installation,"['Presentation', 'LIS']",590ED1,Walter Wilson,590AT,2
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,590BAO,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,390CC,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,390RGI,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,390W1A,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,390W1B,1
Exhibit Design & Installation,"['Arts', 'Presentation']",590ED1,Walter Wilson,409AG,2
Exhibit Design & Installation,"['Arts', 'Presentation']",590ED1,Walter Wilson,409AO,2
Exhibit Design & Installation,"['Arts', 'Presentation']",590ED1,Walter Wilson,409AO2,2
Exhibit Design & Installation,"['Arts', 'Presentation']",590ED1,Walter Wilson,409AU,2
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,457IDU,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,461AG,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,461AO,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,461AU,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,462G4,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,462UG3,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490DB,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490DBO,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490GHU,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490GI,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490ITG,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490ITU,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490SMG,1
Exhibit Design & Installation,['Presentation'],590ED1,Walter Wilson,490SMU,1
Exhibit Design & Installation,"['Presentation', 'LIS']",590ED1,Walter Wilson,490TEO,2
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,501A,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,501AO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,501AO2,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,501B,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502A,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502AO,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502AO2,1
Exhibit Design & Installation,['LIS'],590ED1,Walter Wilson,502AO3,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590GE,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590GEO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590GLO,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,590ISO,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,590OH,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590PC,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,590PP,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590PR,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590PR2,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590QM,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,590TX,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,502B,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,502C,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,504A,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,504AO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,504AO2,1
Exhibit Design & Installation,"['Arts', 'LIS']",590ED2,Walter Wilson,515A,2
Exhibit Design & Installation,"['Arts', 'LIS']",590ED2,Walter Wilson,515AO,2
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,518AO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,525AO,1
Exhibit Design & Installation,"['Presentation', 'LIS']",590ED2,Walter Wilson,527AO,2
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,528A,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,530C,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,530I,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,530MAO,1
Exhibit Design & Installation,['Arts'],590ED2,Walter Wilson,560AO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,567AO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,568AO,1
Exhibit Design & Installation,"['Presentation', 'LIS']",590ED2,Walter Wilson,580AO,2
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,581AO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,582AO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,586A,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,586AO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,587A,1
Exhibit Design & Installation,"['Presentation', 'LIS']",590ED2,Walter Wilson,590AT,2
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,590BAO,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,390CC,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,390RGI,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,390W1A,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,390W1B,1
Exhibit Design & Installation,"['Arts', 'Presentation']",590ED2,Walter Wilson,409AG,2
Exhibit Design & Installation,"['Arts', 'Presentation']",590ED2,Walter Wilson,409AO,2
Exhibit Design & Installation,"['Arts', 'Presentation']",590ED2,Walter Wilson,409AO2,2
Exhibit Design & Installation,"['Arts', 'Presentation']",590ED2,Walter Wilson,409AU,2
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,457IDU,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,461AG,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,461AO,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,461AU,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,462G4,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,462UG3,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490DB,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490DBO,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490GHU,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490GI,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490ITG,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490ITU,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490SMG,1
Exhibit Design & Installation,['Presentation'],590ED2,Walter Wilson,490SMU,1
Exhibit Design & Installation,"['Presentation', 'LIS']",590ED2,Walter Wilson,490TEO,2
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,501A,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,501AO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,501AO2,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,501B,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,502A,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,502AO,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,502AO2,1
Exhibit Design & Installation,['LIS'],590ED2,Walter Wilson,502AO3,1
E-Learning,['Teaching'],590ELO,Melissa Wong,590GHG,1
E-Learning,"['Teaching', 'Information Organization']",590ELO,Melissa Wong,590GLO,2
E-Learning,['Information Organization'],590ELO,Melissa Wong,590IK,1
E-Learning,['Information Organization'],590ELO,Melissa Wong,590ISO,1
E-Learning,"['Teaching', 'Information Organization']",590ELO,Melissa Wong,590MD,2
E-Learning,['Teaching'],590ELO,Melissa Wong,590OH,1
E-Learning,['Information Organization'],590ELO,Melissa Wong,590PC,1
E-Learning,['Information Organization'],590ELO,Melissa Wong,590PR,1
E-Learning,['Information Organization'],590ELO,Melissa Wong,590PR2,1
E-Learning,['Information Organization'],590ELO,Melissa Wong,590QM,1
E-Learning,['Information Organization'],590ELO,Melissa Wong,590SOS,1
E-Learning,['Information Organization'],590ELO,Melissa Wong,590SPO,1
E-Learning,['Information Organization'],590ELO,Melissa Wong,594JLW,1
E-Learning,"['Teaching', 'Information Organization']",590ELO,Melissa Wong,502B,2
E-Learning,"['Teaching', 'Information Organization']",590ELO,Melissa Wong,502C,2
E-Learning,['Information Organization'],590ELO,Melissa Wong,507A,1
